"distance","lon","lat","ID"
105519.094457105,-152.205915,67.526332,5
105519.094457105,-152.205915,67.526332,5
105519.094457105,-152.205915,67.526332,5
101348.392560221,-152.205915,67.526332,5
101348.392560221,-152.205915,67.526332,5
101348.392560221,-152.205915,67.526332,5
101348.84194902,-152.205915,67.526332,5
101348.84194902,-152.205915,67.526332,5
104944.658370099,-152.205915,67.526332,5
104944.658370099,-152.205915,67.526332,5
104885.37450259,-152.205915,67.526332,5
104885.37450259,-152.205915,67.526332,5
104885.37450259,-152.205915,67.526332,5
63716.788265374,-152.205915,67.526332,5
65416.7311034728,-152.205915,67.526332,5
75623.8637633203,-152.206284,67.527706,5
84548.6657075421,-152.205915,67.526332,5
81090.7276759505,-152.205915,67.526332,5
71214.5597201076,-152.206284,67.527706,5
16663.9525122787,-151.7464094,68.1295803,34
24.7953077371576,-151.74492041427,68.1343011414098,32
12.6883158819321,-151.735551602966,68.1420137119218,39
8.2176658113855,-151.735581316652,68.1420309795422,39
35.1797900598025,-151.739499388968,68.1397206026847,43
2.81734398274434,-151.734304474082,68.1412404876553,39
15.3173237695021,-151.735531935952,68.1435753978937,57
1660.3115316862,-151.7376738,68.1435775,42
49.6155128949191,-151.740878,68.1408563,37
66.103198579488,-151.740991769766,68.1410583807807,57
69.2872401593004,-151.7398443,68.1399805,43
181.043403456494,-151.740085936387,68.137798787659,36
1.35518750584424,-151.738653274708,68.1403770485503,37
4.70303010149502,-151.7374055956,68.1396985482226,43
23.5636750341386,-151.7187484,68.1473088,30
10.4275480586579,-151.718960389458,68.1472830147436,30
22.3916081411497,-151.7187484,68.1473088,30
139.459298441697,-151.740878,68.1408563,37
136.191654810982,-151.740878,68.1408563,37
175.838784380532,-151.740878,68.1408563,37
71.1259667665697,-151.7398443,68.1399805,43
27.4399409444054,-151.740978816272,68.1409341869686,37
9.38532166920269,-151.740878,68.1408563,37
15.0627463914111,-151.740802551076,68.1412079638336,57
41677.5314798727,-151.6899875,68.1715465,29
79658.3495848881,-151.7631023,68.1257576,35
80970.0768511501,-152.205915,67.526332,5
80983.2529405889,-152.205915,67.526332,5
82726.7592140999,-152.205915,67.526332,5
73390.8098123044,-152.206284,67.527706,5
75287.1290932479,-152.206284,67.527706,5
71885.3276881594,-152.206284,67.527706,5
71193.1970884819,-152.206284,67.527706,5
71218.9077022231,-152.206284,67.527706,5
71218.9077022231,-152.206284,67.527706,5
71420.067414973,-152.206284,67.527706,5
71636.9250842284,-152.206284,67.527706,5
71893.9695351255,-152.206284,67.527706,5
75287.1290932479,-152.206284,67.527706,5
75287.1290932479,-152.206284,67.527706,5
78029.88009239,-152.206284,67.527706,5
80917.2635616776,-152.205915,67.526332,5
81073.8243799193,-152.205915,67.526332,5
72725.6758911989,-152.206284,67.527706,5
80968.244790914,-152.205915,67.526332,5
81011.1000287189,-152.205915,67.526332,5
81016.972319419,-152.205915,67.526332,5
81016.7193595034,-152.205915,67.526332,5
81015.5842551049,-152.205915,67.526332,5
80905.1892658884,-152.205915,67.526332,5
80934.7170277075,-152.205915,67.526332,5
80913.753590043,-152.205915,67.526332,5
82722.2652911511,-152.205915,67.526332,5
82384.2684618073,-152.205915,67.526332,5
82122.4917234657,-152.205915,67.526332,5
81484.99869738,-152.205915,67.526332,5
81102.5801119053,-152.205915,67.526332,5
80976.6901788113,-152.205915,67.526332,5
80989.3959643493,-152.205915,67.526332,5
80898.292207654,-152.205915,67.526332,5
80678.7352058313,-152.205915,67.526332,5
80651.8056946384,-152.205915,67.526332,5
79468.1329161318,-152.206284,67.527706,5
76911.6186279057,-152.206284,67.527706,5
75277.0258336929,-152.206284,67.527706,5
75287.1290932479,-152.206284,67.527706,5
75287.1290932479,-152.206284,67.527706,5
73795.1060183043,-152.206284,67.527706,5
78082.151861843,-152.206284,67.527706,5
71400.3255477897,-152.206284,67.527706,5
71205.9563331226,-152.206284,67.527706,5
564.910870280901,-151.7412659,68.1326951,34
4.22967794504755,-151.73379911182,68.1409323184535,39
6.17327709280675,-151.73574356464,68.1421263168991,39
4.56590220031226,-151.736794528605,68.1428491192273,39
9.28905520501048,-151.736937917595,68.1438309789971,42
6.1668288728881,-151.734612455506,68.1432416067509,41
19677.0370496903,-151.7630625,68.1256465,35
24.1752392784329,-151.730750392208,68.1460431801757,46
159533.483216632,-152.205319,67.536571,5
159533.483216632,-152.205319,67.536571,5
159533.483216632,-152.205319,67.536571,5
159533.483216632,-152.205319,67.536571,5
159533.483216632,-152.205319,67.536571,5
159533.483216632,-152.205319,67.536571,5
159533.483216632,-152.205319,67.536571,5
74668.5895479251,-152.206284,67.527706,5
50300.4879246469,-152.205319,67.536571,5
50300.4879246469,-152.205319,67.536571,5
21.2169716155882,-151.736044111991,68.1434693030261,57
21.2169716155882,-151.736044111991,68.1434693030261,57
21.2169716155882,-151.736044111991,68.1434693030261,57
21.2169716155882,-151.736044111991,68.1434693030261,57
21.2169716155882,-151.736044111991,68.1434693030261,57
21.2169716155882,-151.736044111991,68.1434693030261,57
50300.4879246469,-152.205319,67.536571,5
83896.0020289097,-152.205915,67.526332,5
71221.2357578454,-152.206284,67.527706,5
71221.2357578454,-152.206284,67.527706,5
71647.6597339664,-152.206284,67.527706,5
71647.6597339664,-152.206284,67.527706,5
71885.6974517009,-152.206284,67.527706,5
73703.2099281308,-152.206284,67.527706,5
73987.8977517143,-152.206284,67.527706,5
74753.5229001469,-152.206284,67.527706,5
75416.0642661778,-152.206284,67.527706,5
75416.0642661778,-152.206284,67.527706,5
75416.0642661778,-152.206284,67.527706,5
